make,model,year,mileage,hp,gear,fuel,price
Volkswagen,Polo,2019,6476,95,manual,gasoline,18555
Volkswagen,Golf,2020,35380,150,automatic,gasoline,24731
Volkswagen,Golf,2020,0,333,automatic,gasoline,65992
Volkswagen,Golf,2019,23674,116,manual,gasoline,19000
Volkswagen,T6,2019,0,150,manual,diesel,45181
Volkswagen,Golf,2019,0,245,automatic,Hybrid - gasoline,41790
Volkswagen,Tiguan,2019,97532,150,automatic,diesel,28989
Volkswagen,T-Cross,2022,9300,95,manual,gasoline,23900
Volkswagen,Golf Variant,2022,0,320,automatic,gasoline,68864
Volkswagen,T-Cross,2022,1100,150,automatic,gasoline,31290
Volkswagen,Tiguan,2019,93800,220,automatic,gasoline,35930
Volkswagen,ID.4,2020,11212,204,automatic,electric,50770
Volkswagen,Passat Variant,2021,28700,150,automatic,diesel,34980
Volkswagen,T-Cross,2021,10,110,manual,gasoline,33145
Volkswagen,Caddy,2017,104543,125,automatic,gasoline,19990
Volkswagen,Tiguan,2022,12363,150,automatic,gasoline,36990
Volkswagen,Golf,2021,40800,131,manual,gasoline,21730
Volkswagen,Golf,2018,22034,125,manual,gasoline,19960
Volkswagen,Passat Variant,2021,16900,150,manual,diesel,33830
